season,birth,hometown,outings,sweat,cold,seasonal allergies,travel destination,outdoor activity,new experiences,personality,color,music,preferred activities,fruit,food
S,1,0,5,8,5,N,River,9,4,Act,R,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
A,11,SR,5,6,1,N,Lake,8,2,Think,B,0,Indoor activities,"Spring, Summer","Autumn, Winter foods"
S,8,0,6,9,1,Y,River,2,5,Act,R,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
S,2,NR,2,6,6,N,River,8,8,Act,B,0,Indoor activities,"Spring, Summer","Spring, Summer foods"
W,3,0,5,7,3,N,River,3,3,Act,B,0,0,"Spring, Summer","Autumn, Winter foods"
A,3,SR,6,5,7,N,Lake,5,5,Think,B,Dance,Indoor activities,0,"Spring, Summer foods"
W,3,NR,7,5,3,Y,River,10,8,Think,B,Dance,Indoor activities,0,"Spring, Summer foods"
S,3,SR,5,5,8,Y,River,5,3,Think,B,Classic,Indoor activities,"Autumn, Winter fruits","Autumn, Winter foods"
A,10,NR,4,5,7,N,Lake,7,9,Think,B,0,Indoor activities,"Spring, Summer","Spring, Summer foods"
A,3,SR,4,6,6,Y,Lake,6,6,Act,R,0,Seasonal activities,"Autumn, Winter fruits","Spring, Summer foods"
W,10,NR,6,8,8,Y,Lake,3,3,Act,B,Dance,Seasonal activities,"Spring, Summer","Spring, Summer foods"
S,12,SR,6,6,9,Y,River,5,5,Think,B,0,Seasonal activities,"Spring, Summer","Spring, Summer foods"
A,5,SR,7,10,10,N,Lake,10,5,Act,B,Classic,Walking activities,0,0
W,3,0,7,1,10,Y,River,1,1,Think,B,Dance,0,0,0
W,12,0,7,8,7,N,River,4,9,Act,B,Dance,Walking activities,"Spring, Summer",0
W,12,NR,5,6,6,N,Lake,3,3,Think,B,0,Indoor activities,"Autumn, Winter fruits","Spring, Summer foods"
A,11,NR,5,8,3,N,River,3,6,Think,B,0,Seasonal activities,0,0
U,5,SR,6,6,5,Y,River,7,9,Act,R,Dance,Indoor activities,"Autumn, Winter fruits","Autumn, Winter foods"
W,NaN,0,7,3,3,Y,River,5,5,Think,B,0,0,"Spring, Summer",0
S,8,0,7,5,8,N,River,6,6,Think,R,Classic,Indoor activities,"Spring, Summer",0
A,10,SR,6,5,6,N,River,4,2,Think,B,Classic,Indoor activities,"Autumn, Winter fruits","Spring, Summer foods"
A,12,NR,3,3,7,Y,Lake,3,2,Think,B,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
A,9,NR,6,7,7,N,River,4,6,Act,B,0,Seasonal activities,"Spring, Summer","Autumn, Winter foods"
U,5,SR,2,3,10,N,River,10,3,Act,B,0,Seasonal activities,"Spring, Summer","Spring, Summer foods"
A,10,0,4,3,4,N,River,4,6,Think,R,Dance,Indoor activities,"Autumn, Winter fruits","Spring, Summer foods"
A,10,NR,7,8,7,N,River,8,9,Think,B,0,Walking activities,"Autumn, Winter fruits","Autumn, Winter foods"
A,8,SR,5,7,5,Y,Lake,4,6,Act,R,Classic,Indoor activities,0,"Spring, Summer foods"
A,10,NR,2,7,7,Y,Lake,5,7,Act,R,Dance,Indoor activities,"Spring, Summer","Autumn, Winter foods"
S,4,NR,6,6,6,N,River,3,6,Act,B,0,Indoor activities,"Spring, Summer","Spring, Summer foods"
S,2,SR,5,1,6,N,River,1,1,Think,B,0,Indoor activities,"Spring, Summer","Autumn, Winter foods"
W,3,0,7,7,9,N,Lake,6,5,Act,B,Dance,Walking activities,"Spring, Summer","Spring, Summer foods"
A,7,NR,1,9,6,N,River,3,5,Think,B,Dance,Indoor activities,"Spring, Summer","Autumn, Winter foods"
W,8,0,6,3,7,N,River,2,5,Think,B,Classic,Indoor activities,"Spring, Summer","Autumn, Winter foods"
A,8,0,4,8,9,Y,River,4,8,Think,B,0,Indoor activities,"Spring, Summer","Spring, Summer foods"
W,5,SR,7,6,8,N,River,7,8,Act,B,Dance,Walking activities,"Spring, Summer","Spring, Summer foods"
W,7,SR,5,8,8,Y,Lake,2,6,Think,B,Classic,Indoor activities,"Autumn, Winter fruits","Spring, Summer foods"
A,3,NR,5,7,4,N,River,2,8,Think,B,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
S,5,0,5,10,1,N,River,8,8,Act,B,Dance,Seasonal activities,"Spring, Summer","Autumn, Winter foods"
W,2,NR,5,10,10,N,River,3,4,Act,B,Dance,Indoor activities,0,"Spring, Summer foods"
S,4,NR,7,2,7,Y,River,7,9,Act,R,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
A,4,0,5,7,9,N,Lake,4,7,Think,B,0,Indoor activities,"Spring, Summer","Spring, Summer foods"
W,5,NR,7,8,1,Y,Lake,10,10,Think,B,0,0,0,"Autumn, Winter foods"
A,10,NR,5,7,5,N,River,1,1,Act,B,Classic,Indoor activities,"Spring, Summer","Autumn, Winter foods"
A,9,SR,6,6,9,N,River,5,7,Think,B,Classic,Indoor activities,"Spring, Summer","Spring, Summer foods"
W,3,0,5,8,8,N,River,10,10,Act,B,Dance,Indoor activities,"Spring, Summer","Spring, Summer foods"
